iter	Passed	Remaining
144	579621	3417766
145	583355	3412232
146	586861	3405396
147	591159	3403159
148	595365	3400373
149	599408	3396649
150	603569	3393578
151	607353	3388393
152	610703	3380822
153	614973	3378359
154	619221	3375753
155	623246	3371921
156	627167	3367528
157	629004	3352037
158	633112	3348727
159	636617	3342243
160	640760	3339116
161	644559	3334202
162	648455	3329797
163	651936	3323283
164	655587	3317671
165	659808	3314939
166	663735	3310729
167	667258	3304519
168	671086	3299840
169	675103	3296093
170	679065	3292078
171	682933	3287609
172	686667	3282508
173	690706	3278871
174	694356	3273393
175	698373	3269659
176	702333	3265654
177	706402	3262151
178	709991	3256440
179	713953	3252452
180	717682	3247415
181	721399	3242335
182	725996	3241197
183	729951	3237176
184	733764	3232531
185	737714	3228494
186	741516	3223811
187	745191	3218594
188	748957	3213780
189	752999	3210157
190	755814	3201327
191	759429	3195931
192	763301	3191629
193	767386	3188213
194	771212	3183722
195	774949	3178874
196	778995	3175294
197	783179	3172274
198	786827	3167077
199	790539	3162158
200	794138	3156798
201	797975	3152399
202	801973	3148633
203	806232	3145888
204	810574	3143446
205	814564	3139633
206	818573	3135887
207	822356	3131280
208	825844	3125564
209	829296	3119735
210	833121	3115319
211	836698	3109994
212	840501	3105514
213	844405	3101413
214	847869	3095710
215	851972	3092344
216	855481	3086830
217	859519	3083232
218	863342	3078862
219	866735	3072971
220	870783	3069412
221	874643	3065192
222	878388	3060572
223	882085	3055796
224	886166	3052352
225	889529	3046440
226	893540	3042761
227	897853	3040098
228	901917	3036585
229	905681	3032065
230	909711	3028432
231	913766	3024883
232	917748	3021087
233	921451	3016373
234	925149	3011658
235	929252	3008256
236	933362	3004877
237	937206	3000636
238	940685	2995238
239	944487	2990877
240	948536	2987298
241	952275	2982746
242	956208	2978807
243	960156	2974911
244	963660	2969649
245	967507	2965451
246	970780	2959506
247	974511	2954970
248	978399	2950915
249	982403	2947209
250	986284	2943134
251	989957	2938444
252	993587	2933635
253	996983	2928147
254	1000295	2922432
255	1004052	2918026
256	1007830	2913688
257	1012092	2910747
258	1015900	2906495
259	1019695	2902210
260	1023027	2896618
261	1027311	2893725
262	1030844	2888715
263	1034991	2885429
264	1038356	2879969
265	1042119	2875622
266	1046433	2872792
267	1050666	2869730
268	1053852	2863813
269	1058133	2860878
270	1061943	2856667
271	1066579	2854668
272	1070379	2850425
273	1074383	2846723
274	1078173	2842456
275	1081988	2838260
276	1086170	2835023
277	1090313	2831678
278	1093809	2826653
279	1097432	2821969
280	1101237	2817757
281	1105170	2813874
282	1109086	2809947
283	1113100	2806268
284	1117155	2802688
285	1121142	2798936
286	1125020	2794911
287	1129020	2791189
288	1132754	2786810
289	1136494	2782450
290	1140415	2778536
291	1144204	2774303
292	1147988	2770060
293	1151771	2765818
294	1155291	2760951
295	1158394	2755100
296	1162326	2751230
297	1165866	2746436
298	1170045	2743150
299	1173972	2739268
300	1178065	2735772
301	1181470	2730684
302	1185385	2726776
303	1188741	2721593
304	1192592	2717546
305	1195894	2712256
306	1199962	2708709
307	1203314	2703550
308	1207022	2699198
309	1210676	2694731
310	1214414	2690455
311	1218065	2685990
312	1221469	2680988
313	1224953	2676171
314	1228695	2671925
315	1232281	2667342
316	1236323	2663749
317	1240167	2659729
318	1243617	2654869
319	1247366	2650653
320	1251302	2646836
321	1255327	2643204
322	1258769	2638349
323	1262917	2634976
324	1266914	2631284
325	1270679	2627109
326	1274722	2623512
327	1278524	2619416
328	1282317	2615303
329	1285747	2610456
330	1289399	2606067
331	1292972	2601522
332	1296367	2596628
333	1300141	2592498
334	1304280	2589093
335	1308254	2585361
336	1312457	2582074
337	1315769	2577040
338	1319078	2572008
339	1322632	2567464
340	1326821	2564151
341	1331757	2562270
342	1335511	2558108
343	1339048	2553535
344	1342607	2549008
345	1346451	2545027
346	1350429	2541298
347	1354374	2537505
348	1358486	2534025
349	1362185	2529772
350	1366088	2525902
351	1369771	2521625
352	1373793	2517972
353	1377310	2513397
354	1381260	2509614
355	1384848	2505174
356	1388553	2500952
357	1391785	2495883
358	1395873	2492353
359	1399960	2488818
360	1403966	2485138
361	1407463	2480557
362	1410569	2475297
363	1414667	2471781
364	1418129	2467157
365	1422145	2463498
366	1425530	2458749
367	1428867	2453924
368	1432640	2449854
369	1436204	2445428
370	1439969	2441349
371	1443877	2437513
372	1447258	2432791
373	1451214	2429037
374	1455385	2425642
375	1459356	2421910
376	1463138	2417865
377	1466220	2412669
378	1469756	2408229
379	1473611	2404313
380	1477575	2400574
381	1481146	2396199
382	1485329	2392816
383	1489287	2389065
384	1493191	2385227
385	1497160	2381493
386	1500965	2377497
387	1504843	2373618
388	1508169	2368873
389	1511676	2364417
390	1514986	2359659
391	1518706	2355544
392	1522476	2351508
393	1526225	2347442
394	1529010	2341902
395	1532763	2337851
396	1536375	2333587
397	1540034	2329398
398	1543788	2325355
399	1547674	2321511
400	1551002	2316833
401	1554130	2311866
402	1558092	2308142
403	1561882	2304164
404	1565773	2300334
405	1569490	2296250
406	1573049	2291937
407	1576854	2287985
408	1580693	2284082
409	1584598	2280275
410	1589021	2277210
411	1592874	2273325
412	1596072	2268509
413	1599893	2264584
414	1602793	2259358
415	1607137	2256174
416	1611492	2252997
417	1615289	2249039
418	1618893	2244814
419	1623003	2241291
420	1627152	2237818
421	1630074	2232660
422	1633908	2228758
423	1637803	2224940
424	1641609	2221000
425	1645314	2216926
426	1649404	2213369
427	1653329	2209589
428	1657186	2205719
429	1661157	2201999
430	1664449	2197382
431	1668159	2193321
432	1671860	2189249
433	1675873	2185586
434	1679811	2181824
435	1682878	2176934
436	1686282	2172487
437	1689566	2167891
438	1693287	2163859
439	1697256	2160144
440	1701104	2156275
441	1704750	2152151
442	1708881	2148638
443	1712613	2144624
444	1716387	2140663
445	1720087	2136611
446	1723393	2132072
447	1726348	2127107
448	1730424	2123527
449	1734265	2119658
450	1737869	2115499
451	1742042	2112033
452	1745614	2107838
453	1749336	2103827
454	1753067	2099827
455	1756589	2095579
456	1759946	2091139
457	1763745	2087226
458	1767785	2083599
459	1771416	2079488
460	1774832	2075129
461	1778358	2070902
462	1782533	2067431
463	1785706	2062799
464	1789895	2059342
465	1793399	2055097
466	1797240	2051240
467	1801407	2047753
468	1805139	2043771
469	1809140	2040094
470	1813284	2036576
471	1817241	2032846
472	1821292	2029220
473	1825066	2025284
474	1828696	2021190
475	1832850	2017676
476	1836721	2013847
477	1840778	2010222
478	1844389	2006110
479	1848044	2002048
480	1852164	1998489
481	1855952	1994571
482	1859588	1990490
483	1863406	1986607
484	1867413	1982924
485	1870965	1978757
486	1874884	1974981
487	1878820	1971221
488	1882776	1967482
489	1886865	1963880
490	1890864	1960183
491	1893823	1955410
492	1897667	1951556
493	1901788	1947986
494	1905436	1943929
495	1909801	1940605
496	1913993	1937100
497	1917950	1933355
498	1921029	1928729
499	1925856	1925856
500	1929774	1922070
501	1933543	1918136
502	1937512	1914401
503	1941787	1910965
504	1945830	1907299
505	1949668	1903431
506	1953470	1899528
507	1957276	1895630
508	1961510	1892144
509	1965327	1888255
510	1968607	1883853
511	1972396	1879940
512	1975651	1875521
513	1979797	1871948
514	1983587	1868038
515	1988002	1864715
516	1991357	1860397
517	1994958	1856312
518	1998740	1852397
519	2002796	1848735
520	2006622	1844860
521	2010754	1841265
522	2014708	1837506
523	2018801	1833872
524	2022789	1830142
525	2026776	1826410
526	2030613	1822543
527	2034781	1818971
528	2038463	1814964
529	2042512	1811284
530	2046185	1807271
531	2049979	1803365
532	2053870	1799544
533	2057690	1795662
534	2061714	1791957
535	2064889	1787516
536	2068939	1783834
537	2072458	1779694
538	2076705	1776180
539	2080294	1772102
540	2084224	1768315
541	2087769	1764203
542	2091866	1760557
543	2095029	1756127
544	2098780	1752192
545	2102854	1748527
546	2107033	1744946
547	2110297	1740610
548	2113945	1736592
549	2118183	1733059
550	2122207	1729348
551	2125847	1725325
552	2129744	1721511
553	2133720	1717760
554	2137911	1714181
555	2141364	1710010
556	2145434	1706333
557	2149257	1702458
558	2152739	1698315
559	2156240	1694188
560	2160043	1690301
561	2163552	1686185
562	2167382	1682319
563	2171498	1678676
564	2174896	1674477
565	2179073	1670879
566	2182820	1666951
567	2186928	1663297
568	2190718	1659402
569	2194523	1655517
570	2198725	1651932
571	2202834	1648274
572	2207242	1644838
573	2211485	1641276
574	2215365	1637444
575	2219515	1633810
576	2223985	1630408
577	2228094	1626740
578	2231247	1622375
579	2234951	1618412
580	2238539	1614368
581	2242486	1610583
582	2246331	1606724
583	2250395	1603021
584	2254093	1599057
585	2258323	1595471
586	2262436	1591799
587	2266104	1587815
588	2270312	1584207
589	2274008	1580243
590	2278127	1576572
591	2281981	1572716
592	2285381	1568549
593	2289579	1564931
594	2293201	1560918
595	2296451	1556655
596	2300490	1552927
597	2303595	1548570
598	2307427	1544704
599	2311208	1540805
600	2314835	1536804
601	2318292	1532691
602	2322340	1528970
603	2326445	1525285
604	2330193	1521366
605	2333627	1517242
606	2337687	1513527
607	2341349	1509554
608	2345171	1505684
609	2349207	1501952
610	2350825	1496679
611	2354913	1492984
612	2359034	1489308
613	2362688	1485338
614	2366623	1481544
615	2370527	1477731
616	2374595	1474019
617	2378256	1470055
618	2382060	1466179
619	2386171	1462492
620	2389910	1458576
621	2393632	1454651
622	2397118	1450583
623	2400987	1446748
624	2405025	1443015
625	2408795	1439120
626	2412594	1435243
627	2416445	1431397
628	2420572	1427714
629	2424591	1423966
630	2428561	1420188
631	2432101	1416160
632	2436027	1412357
633	2440117	1408648
634	2444215	1404942
635	2448105	1401116
636	2451950	1397265
637	2455724	1393373
638	2459539	1389504
639	2463761	1385865
640	2467865	1382158
641	2471673	1378285
642	2475819	1374599
643	2479838	1370842
644	2483301	1366778
645	2487162	1362934
646	2490750	1358941
647	2494665	1355126
648	2497947	1350970
649	2501628	1347030
650	2506120	1343526
651	2510072	1339731
652	2513510	1335663
653	2517486	1331881
654	2520939	1327823
655	2524904	1324035
656	2529278	1320460
657	2534377	1317259
658	2538486	1313541
659	2542064	1309548
660	2545251	1305356
661	2549117	1301513
662	2553079	1297719
663	2556898	1293852
664	2560588	1289920
665	2564249	1285974
666	2568068	1282109
667	2571721	1278161
668	2575442	1274247
669	2579188	1270346
670	2583092	1266523
671	2586689	1262550
672	2590726	1258792
673	2594787	1255045
674	2598652	1251203
675	2602460	1247333
676	2606577	1243611
677	2610203	1239654
678	2614176	1235862
679	2618344	1232162
680	2622358	1228388
681	2626212	1224538
682	2629726	1220531
683	2633557	1216672
684	2637736	1212973
685	2641502	1209084
686	2645477	1205290
687	2649572	1201550
688	2653443	1197708
689	2656674	1193578
690	2660425	1189683
691	2664308	1185848
692	2668135	1181987
693	2671982	1178136
694	2675733	1174242
695	2679404	1170314
696	2682921	1166320
697	2686924	1162537
698	2690585	1158606
699	2694718	1154879
700	2698501	1151001
701	2702561	1147241
702	2706707	1143516
703	2710652	1139706
704	2714332	1135784
705	2717859	1131799
706	2721464	1127848
707	2725372	1124023
708	2728996	1120081
709	2732820	1116222
710	2736512	1112309
711	2740217	1108402
712	2744192	1104604
713	2747590	1100575
714	2751573	1096781
715	2755455	1092946
716	2759619	1089222
717	2763450	1085366
718	2767245	1081496
719	2771293	1077725
720	2774612	1073671
721	2778267	1069748
722	2782343	1065987
723	2786629	1062306
724	2790523	1058474
725	2794576	1054702
726	2798679	1050948
727	2801888	1046859
728	2805782	1043027
729	2809999	1039314
730	2814111	1035562
731	2818177	1031791
732	2822098	1027967
733	2826743	1024405
734	2830380	1020477
735	2834291	1016647
736	2838278	1012845
737	2842142	1008999
738	2845494	1004971
739	2849691	1001242
740	2853476	997368
741	2857469	993567
742	2861210	989678
743	2865072	985831
744	2868084	981693
745	2871720	977770
746	2875757	973984
747	2879838	970213
748	2883528	966309
749	2887686	962562
750	2891787	958795
751	2895930	955040
752	2899826	951204
753	2903944	947440
754	2907936	943635
755	2911819	939793
756	2915805	935985
757	2919755	932164
758	2923413	928251
759	2926362	924114
760	2930246	920274
761	2934241	916469
762	2938024	912597
763	2941535	908641
764	2945635	904868
765	2949715	901087
766	2953229	897134
767	2956756	893186
768	2960706	889366
769	2963634	885241
770	2967161	881296
771	2971261	877522
772	2974982	873636
773	2978939	869819
774	2982562	865905
775	2986613	862115
776	2990537	858288
777	2994642	854512
778	2998658	850710
779	3002009	846720
780	3005896	842882
781	3009659	839009
782	3012556	834897
783	3016308	831023
784	3020261	827205
785	3024074	823348
786	3028114	819553
787	3032209	815772
788	3036236	811972
789	3040062	808117
790	3043841	804251
791	3047771	800424
792	3051770	796615
793	3055788	792811
794	3059331	788884
795	3062932	784972
796	3067036	781189
797	3070808	777322
798	3074747	773497
799	3078255	769563
800	3081924	765671
801	3085901	761855
802	3090068	758086
803	3093870	754227
804	3097497	750325
805	3101552	746527
806	3105464	742694
807	3109384	738863
808	3112820	734918
809	3116876	731119
810	3120669	727258
811	3125208	723570
812	3129488	719820
813	3133862	716091
814	3137692	712236
815	3141710	708424
816	3145351	704527
817	3149675	700783
818	3153746	696981
819	3157596	693130
820	3161789	689354
821	3165612	685497
822	3168654	681472
823	3172682	677660
824	3176474	673797
825	3179856	669848
826	3183779	666014
827	3187899	662220
828	3191938	658409
829	3196043	654611
830	3199540	650688
831	3203100	646779
832	3206900	642919
833	3210714	639063
834	3213692	635041
835	3216766	631040
836	3220841	627236
837	3224626	623376
838	3228825	619595
839	3232972	615804
840	3236900	611970
841	3240213	608021
842	3243934	604149
843	3247731	600291
844	3251738	596472
845	3255830	592668
846	3259747	588832
847	3263860	585031
848	3267196	581091
849	3270912	577219
850	3275167	573442
851	3279208	569627
852	3282852	565743
853	3286813	561914
854	3290422	558024
855	3294295	554180
856	3298283	550355
857	3302000	546484
858	3305710	542613
859	3309781	538801
860	3313625	534952
861	3317464	531102
862	3321540	527289
863	3325121	523398
864	3328519	519479
865	3332457	515645
866	3336227	511785
867	3340340	507978
868	3344047	504108
869	3346986	500124
870	3350904	496287
871	3354816	492450
872	3358877	488633
873	3362728	484786
874	3366607	480943
875	3370342	477080
876	3373754	473172
877	3377656	469332
878	3381515	465487
879	3385423	461648
880	3389560	457840
881	3393613	454020
882	3397293	450150
883	3400925	446275
884	3405167	442479
885	3409131	438646
886	3412791	434774
887	3416485	430908
888	3420529	427085
889	3424928	423305
890	3428702	419448
891	3432501	415594
892	3436450	411758
893	3440346	407915
894	3444292	404078
895	3448332	400252
896	3452332	396421
897	3457494	392722
898	3461547	388894
899	3465688	385076
900	3469490	381220
901	3473632	377401
902	3477719	373575
903	3481583	369725
904	3485436	365874
905	3489645	362060
906	3493123	358170
907	3497013	354322
908	3500634	350448
909	3504859	346634
910	3509118	342822
911	3512665	338941
912	3516828	335119
913	3520222	331224
914	3523987	327364
915	3528101	323537
916	3532274	319715
917	3536297	315878
918	3540285	312038
919	3544162	308188
920	3548108	304343
921	3551977	300492
922	3556006	296654
923	3560060	292818
924	3563864	288961
925	3567924	285125
926	3571440	281246
927	3575552	277413
928	3579714	273584
929	3583788	269747
930	3587918	265914
931	3591693	262054
932	3595899	258226
933	3599828	254377
934	3603648	250521
935	3607736	246682
936	3611566	242826
937	3615766	238995
938	3619710	235146
939	3624401	231344
940	3629992	227597
941	3634882	223803
942	3639481	219989
943	3643405	216134
944	3647596	212293
945	3651758	208451
946	3655659	204593
947	3659831	200750
948	3663693	196889
949	3667844	193044
950	3671657	189181
951	3675526	185320
952	3679456	181463
953	3683492	177610
954	3687408	173752
955	3691657	169908
956	3695525	166047
957	3699357	162184
958	3703229	158323
959	3707070	154461
960	3711241	150612
961	3715082	146749
962	3719331	142902
963	3723985	139070
964	3728290	135222
965	3733834	131418
966	3737811	127557
967	3741307	123679
968	3745204	119815
969	3749113	115951
970	3753160	112092
971	3757333	108235
972	3761698	104384
973	3765911	100527
974	3770076	96668
975	3773928	92801
976	3777709	88932
977	3781933	85074
978	3785775	81206
979	3789526	77337
980	3793649	73475
981	3797747	69612
982	3801546	65743
983	3805107	61871
984	3809117	58006
985	3812964	54139
986	3816737	50271
987	3820613	46404
988	3824523	42537
989	3828001	38666
990	3831926	34800
991	3836001	30935
992	3840028	27069
993	3843221	23198
994	3847065	19331
995	3850959	15465
996	3855087	11600
997	3859239	7733
998	3863184	3867
999	3866940	0
