iter	MultiClass
0	2.261873446
1	1.845828511
2	1.614541722
3	1.387603777
4	1.225357301
5	1.110236617
6	1.012434452
7	0.9371456582
8	0.8695576402
9	0.8119313449
10	0.7564211681
11	0.7131798959
12	0.6731877026
13	0.6280283965
14	0.582825529
15	0.5449850146
16	0.5067720935
17	0.4682478574
18	0.4364428595
19	0.4066522902
20	0.3813658404
21	0.3585167953
22	0.3375213542
23	0.3196243747
24	0.3032635947
25	0.2880327933
26	0.2737845921
27	0.2600236688
28	0.2474671107
29	0.2369669257
30	0.2264372291
31	0.2128283102
32	0.2011164581
33	0.1931523617
34	0.18448156
35	0.1769100191
36	0.1696934404
37	0.1620028048
38	0.1561398773
39	0.150713861
40	0.1458377775
41	0.1414523239
42	0.137843831
43	0.1330196725
44	0.1279541472
45	0.1243443194
46	0.1217364371
47	0.1185331225
48	0.1155003693
49	0.1118186112
50	0.1092035676
51	0.1065137304
52	0.1043915266
53	0.1023181293
54	0.1005233468
55	0.0983680279
56	0.09664723451
